41;15;3.15303206444
26;71;2.72166895866
74;3;2.03739380836
86;25;6.83922600746
9;42;2.72003698349
59;95;6.65001606941
93;78;5.21343898773
92;34;3.34059786797
91;73;3.01114988327
95;32;3.65212893486
6;2;2.10354399681
6;61;1.99054384232
71;18;9.00082302094
58;11;2.49615383148
56;57;3.40796399117
42;49;6.12973999977
32;68;2.86353492737
10;61;2.32645583153
30;28;3.81305408478
82;61;10.6664459705
72;76;4.62996292114
1;53;2.54260897636
0;27;2.84671211243
29;72;5.41703820229
52;16;3.50245308876
85;28;4.48618507385
68;47;3.1985180378
37;50;2.5881228447
86;71;3.03455495834
25;84;3.81376504898
51;15;2.34542489052
46;16;3.15765404701
27;60;2.37464284897
26;96;4.48238492012
63;64;3.58606505394
70;19;2.15368485451
10;17;2.43648386002
3;57;3.28938984871
65;6;3.15145802498
